iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
CAF,Central African Republic,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.277,365.714,,,,,,,,2898666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199359.0,0.804,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,1981,,0.0,,,,,22.015,0.177,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.334,433.4,,,,,,,,2941447000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264441.0,0.981,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,1982,,0.0,,,,,7.07,0.069,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.351,449.953,,,,,,,,2993424000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2335339.0,1.051,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,1983,,0.0,,,,,4.678,0.049,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.391,456.73,,,,,,,,2810015000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408322.0,1.1,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,1984,,0.0,,,,,-4.007,-0.044,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.35,426.037,,,,,,,,3012834000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478382.0,1.056,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,1985,,0.0,,,,,-2.815,-0.03,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.329,403.655,,,,,,,,3115672000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542170.0,1.026,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,1986,,0.0,,,,,22.364,0.229,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.389,483.359,,,,,,,,3224550000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597765.0,1.256,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,1987,,0.0,,,,,-7.399,-0.093,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.379,439.299,,,,,,,,3065439000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2646836.0,1.163,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,1988,,0.0,,,,,0.299,0.003,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.373,432.904,,,,,,,,3129941000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693974.0,1.166,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic,1989,,0.0,,,,,-0.012,-0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.363,424.69,,,,,,,,3210000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2745735.0,1.166,,,,,,,,,,,,,,,,,,,,,
