iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ETH,Ethiopia,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.232,251.322,,,,,,,,38082968928.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,35141704.0,8.832,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1981,,0.0,,0.0,,0.0,0.879,0.078,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.229,247.593,,,,,,,,38888413557.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,35984532.0,8.91,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1982,,0.0,,0.0,,0.0,9.372,0.835,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.247,263.401,,,,,,,,39483908734.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,36995248.0,9.745,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1983,,0.0,,0.0,,0.0,14.272,1.391,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.269,291.94,,,,,,,,41460916081.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,38142680.0,11.135,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1984,,0.0,,0.0,,0.0,1.744,0.194,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.279,287.74,,,,,,,,40637087258.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,39374348.0,11.33,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1985,,0.0,,0.0,,0.0,17.785,2.015,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.352,328.263,,,,,,,,37958073120.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40652144.0,13.345,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1986,,0.0,,0.0,,0.0,-1.987,-0.265,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.324,311.671,,,,,,,,40403509672.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,41965696.0,13.079,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1987,,0.0,,0.0,,0.0,12.366,1.617,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.333,339.191,,,,,,,,44197122096.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,43329240.0,14.697,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1988,,0.0,,0.0,,0.0,-1.85,-0.272,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.32,322.295,,,,,,,,45041420987.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,44757204.0,14.425,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1989,,0.0,,0.0,,0.0,5.154,0.743,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.331,327.808,,,,,,,,45764087562.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,46272308.0,15.168,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,1990,,0.0,,0.0,,0.0,2.03,0.308,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.344,323.18,,,,,,,,45030920303.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,47887864.0,15.476,,,,,,,,,,,,,,,,,,,,,
