iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
URY,Uruguay,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.024,10855.686,,,,,,,,30899780000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2915389.0,31.649,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,1981,,0.0,,0.0,,0.0,-5.288,-1.674,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.989,10214.231,,,,,,,,30311264000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2934624.0,29.975,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,1982,,0.0,,0.0,,0.0,-5.198,-1.558,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,9620.26,,,,,,,,28427504000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2953852.0,28.417,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,1983,,0.0,,0.0,,0.0,23.146,6.577,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.308,11770.482,,,,,,,,26751550000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2973048.0,34.994,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,1984,,0.0,,0.0,,0.0,-1.802,-0.631,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.297,11484.182,,,,,,,,26485440000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2992250.0,34.364,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,1985,,0.0,,0.0,,0.0,-7.832,-2.691,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.181,10517.043,,,,,,,,26809812000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3011519.0,31.672,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,1986,,0.0,,0.0,,0.0,5.384,1.705,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.144,11013.305,,,,,,,,29182468000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3030651.0,33.377,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,1987,,0.0,,0.0,,0.0,6.639,2.216,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.133,11671.62,,,,,,,,31419945000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3049581.0,35.594,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,1988,,0.0,,0.0,,0.0,-1.281,-0.456,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.117,11450.215,,,,,,,,31465408000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3068714.0,35.137,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,1989,,0.0,,0.0,,0.0,-12.863,-4.52,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.962,9913.164,,,,,,,,31821840000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3088603.0,30.618,,,,,,,,,,,,,,,,,,,,,
